Average npc score: 15.474766731262207
Agent
Period	Score	Loss
0	25.384	2.379635567188263
1	30.247	5.737733953714371
2	29.808	4.663609040260315
3	30.464	4.365737117767334
4	30.214	3.7981346414089203
5	31.331	3.5342307295799253
6	31.366	3.704321944236755
7	30.831	3.6715579302310943
8	31.067	3.6273934504985808
9	30.882	3.4397913298606873
10	30.983	3.298248779296875
11	31.223	3.1924352757930756
12	30.926	3.250495847940445
13	31.085	3.1441641306877135
14	30.979	3.0046476258039476
15	30.877	2.9918733714818955
16	31.018	2.8705140997171403
17	31.109	3.077201025724411
18	31.221	2.974125079393387
19	30.903	2.8829556601047517
20	30.569	2.813751755475998
21	31.384	2.781779770255089
22	30.719	2.782658589720726
23	30.881	2.7543666297197342
24	31.443	2.760199396252632
25	30.741	2.733205828666687
26	30.901	2.7008964673280715
27	31.035	2.734232223153114
28	30.751	2.6672082686424257
29	31.072	2.6232977989912034
30	30.761	2.611365977883339
31	31.301	2.6489495440721513
32	31.223	2.6264682525396346
33	31.156	2.6082449103593826
34	31.288	2.5865752911567688
35	31.038	2.59269760453701
36	31.39	2.5274844917058945
37	30.633	2.5096455811262133
38	31.321	2.536927302122116
39	31.129	2.513802086830139
40	30.887	2.467924312233925
41	31.186	2.4262691197395325
42	31.547	2.4071236819028856
43	31.234	2.4283050960302353
44	31.317	2.4010731616020204
45	31.255	2.397771254777908
46	31.138	2.3841906039714815
47	30.938	2.385772336602211
48	31.108	2.365408247232437
49	31.412	2.3348760685920715
50	31.137	2.3223339051008223
51	31.399	2.34218105506897
52	31.359	2.332151604294777
53	30.954	2.320063414812088
54	30.881	2.3256819882392885
55	31.175	2.2945438423156737
56	31.366	2.2880109814405443
57	31.285	2.2348827010393144
58	30.983	2.300637346625328
59	31.079	2.2129615395069124
60	31.466	2.2069620356559754
61	31.282	2.2005665335655213
62	31.077	2.1940083837509157
63	31.591	2.2333604468107224
64	31.275	2.1905614103078843
65	31.703	2.2425049719810484
66	31.472	2.221388569831848
67	31.682	2.2266901108026507
68	31.033	2.162569565176964
69	31.476	2.152561133623123
70	31.701	2.167301639676094
71	31.509	2.2364028168916703
72	31.529	2.1131397675275805
73	31.664	2.1567150473594667
74	31.258	2.1361228793859484
75	31.111	2.132739396214485
76	31.349	2.1360419155359267
77	31.452	2.093507968425751
78	31.281	2.1353946552276613
79	31.58	2.1348113301992417
80	30.968	2.11753841984272
81	31.537	2.1000357620716095
82	31.023	2.0699832713603974
83	31.419	2.0949958493709566
84	31.542	2.0865754112005233
85	31.302	2.0878462862968443
86	31.406	2.0985038644075393
87	31.068	2.0924876041412355
88	31.079	2.065998935699463
89	31.094	2.052052847743034
90	31.156	2.0895014702081682
91	31.41	2.0911984241008756
92	31.032	2.0908248658180235
93	31.372	2.0660345039367676
94	30.946	2.0311831349134444
95	30.914	2.0307248413562773
96	31.524	2.0539267760515214
97	31.107	2.0291164247989655
98	31.431	2.0571631226539613
99	31.443	2.0102211128473284
100	31.02	1.9976516844034196
101	31.439	2.0224807114601133
102	31.149	2.0238404273986816
103	31.68	2.0235102664232256
104	31.521	2.0200031093358994
105	31.28	2.0169208664894103
106	31.381	1.9908330545425414
107	31.206	1.9545772742033005
108	30.729	1.9591530297994613
109	31.339	1.9677798064947127
110	31.229	1.951295193552971
111	31.228	1.9600796043872832
112	31.367	1.9752791998386383
113	30.882	1.9644800783395768
114	31.162	1.960033671975136
115	31.395	1.9209845346212386
116	31.4	1.9690344635248185
117	31.39	1.9469662792682647
118	31.294	1.9385324003696442
119	31.369	1.9705963587760926
120	31.474	1.9686515842676162
121	31.28	1.9786593548059463
122	31.662	1.9090380939245224
123	31.098	1.957353451013565
124	31.471	1.9608166247606278
125	31.141	1.9385570255517959
126	31.449	1.8918583146333694
127	31.363	1.9178559658527374
128	31.521	1.9397929248809815
129	31.168	1.9061670166254043
130	31.328	1.9148395935297011
131	31.834	1.9840076402425766
132	31.071	1.9987610276937484
133	31.029	1.9184905475378036
134	31.351	1.895046872973442
135	31.031	1.8711421226263045
136	31.426	1.9193509044647217
137	31.465	1.8842447102069855
138	31.266	1.8979792898893357
139	31.429	1.8645208774805069
140	31.107	1.867286607861519
141	31.24	1.86628370988369
142	31.263	1.887950376868248
143	31.177	1.8607944588661194
144	31.372	1.87003950881958
145	31.411	1.948499118566513
146	31.239	1.9013474628925324
147	31.334	1.8775829405784608
148	31.291	1.864907308459282
149	31.039	1.8378543422222138
150	31.241	1.9069160528182982
151	31.238	1.8965534873008727
152	31.483	1.8886479429006577
153	31.348	1.8638198701143265
154	31.271	1.875379475235939
155	31.07	1.876310619354248
156	31.589	1.8846889399290085
157	31.083	1.8674179295301436
158	31.281	1.8693885344266892
159	31.108	1.8852300082445144
160	31.104	1.8484522691965104
161	31.123	1.819090850353241
162	31.572	1.8530690921545028
163	31.609	1.8818605065345764
164	30.973	1.8371328873634338
165	31.541	1.9043800780773164
166	31.168	1.8615035817623138
167	30.888	1.8459375821352004
168	31.334	1.87620383143425
169	31.579	1.8607323169708252
170	31.846	1.881915107011795
171	31.509	1.8974738383293153
172	30.956	1.8861838530302049
173	31.145	1.859329500079155
174	31.287	1.8487985110282898
175	31.398	1.8409167037010192
176	31.371	1.9112066023349763
177	31.515	1.8472843643426895
178	31.211	1.851442162513733
179	30.92	1.8715852030515672
180	31.319	1.871863334298134
181	31.034	1.8815058447122575
182	31.305	1.8846471816301347
183	31.508	1.8581313964128494
184	31.461	1.8813258044719696
185	31.559	1.8146249994039536
186	31.14	1.841396981716156
187	31.221	1.8239931095838546
188	31.071	1.8177672737836839
189	31.338	1.8670490146875383
190	30.785	1.8638923795223237
191	31.52	1.8543507519960403
192	30.84	1.8499771047830582
193	31.644	1.8454850404262542
194	31.268	1.817541366815567
195	31.495	1.852245277404785
196	31.015	1.8582382311820984
197	31.269	1.8029340651035308
198	31.264	1.8314946792125701
199	31.009	1.8386693875789641
200	30.914	1.851100726723671
201	31.098	1.8596718336343765
202	31.256	1.8304161741733551
203	31.052	1.8524117196798324
204	31.192	1.8543688842058181
205	31.315	1.8250373663902282
206	31.268	1.8491482104063035
207	30.783	1.855609423995018
208	30.931	1.8207628810405732
209	30.973	1.863563980102539
210	31.077	1.8530293318033217
211	30.862	1.829917259335518
212	31.187	1.847388862967491
213	31.167	1.8373027454614639
214	31.031	1.8798724547624588
215	30.628	1.8526283912658692
216	31.138	1.807616268992424
217	31.306	1.8249738529920578
218	31.236	1.8451454701423644
219	31.09	1.7955330018997193
220	31.177	1.784144904613495
221	31.187	1.8449227274656297
222	31.117	1.8354116430282592
223	30.978	1.8219787938594818
224	31.29	1.7863760673999787
225	31.093	1.815446232676506
226	31.329	1.8334025186300278
227	31.627	1.8198659063577651
228	31.269	1.8569016897678374
229	31.661	1.823707271337509
230	31.222	1.7949213913679123
231	30.806	1.814698282599449
232	31.316	1.8639441227912903
233	30.822	1.8684524121284485
234	31.033	1.8484163097143174
235	31.479	1.82336525118351
236	31.377	1.8305955032110215
237	31.077	1.8479131007194518
238	31.505	1.820818546652794
239	31.212	1.8647909630537034
240	31.343	1.8778394054174423
241	31.742	1.8430631122589112
242	31.322	1.8764294797182084
243	31.085	1.8607734593153
244	31.305	1.8213565875291824
245	30.669	1.8447690554857255
246	31.309	1.8908366812467574
247	31.071	1.883899074792862
248	31.513	1.8860277047157288
249	31.473	1.9440348453521727
250	32.282	2.0011528236865996
251	33.621	2.163564798593521
252	34.039	2.383497771382332
253	34.529	2.590054070353508
254	36.191	2.883978016972542
255	36.936	3.099286954879761
256	38.259	3.2565908031463624
257	39.096	3.4420305354595184
258	38.479	3.511635290145874
259	38.63	3.4691775918006895
260	39.091	3.5113533744812013
261	39.232	3.701896145820618
262	38.418	3.6741436920166017
263	39.171	3.6744393973350524
264	39.237	3.8103028242588044
265	39.44	3.737209352493286
266	38.683	3.7725023980140686
267	37.526	3.7124948801994324
268	39.174	3.643918558597565
269	39.274	3.717213340997696
270	38.892	3.6697496373653413
271	39.087	3.7547133481502533
272	39.494	3.6572513337135315
273	39.408	3.726771918773651
274	39.905	3.6275832524299623
275	39.219	3.7261782443523406
276	39.384	3.778907280445099
277	39.149	3.74792862534523
278	39.205	3.688857607126236
279	39.305	3.777064722299576
280	39.312	3.778147911787033
281	38.975	3.7988329641819
282	39.409	3.8377395968437193
283	39.711	3.8434458386898043
284	39.921	3.8031177661418916
285	39.624	3.848040385723114
286	39.346	3.8310788400173186
287	39.761	3.828003831386566
288	39.181	3.866725289106369
289	39.743	3.876543194293976
290	39.373	3.86295520567894
291	39.936	3.8615957512855528
292	40.241	3.820343365430832
293	39.738	3.8453248386383057
294	39.243	3.7992984738349915
295	40.183	3.859740925312042
296	39.47	3.823734210014343
297	39.176	3.8830769743919373
298	39.481	3.847929657459259
299	39.448	3.839692388296127
