Average npc score: 21.546480178833008
Agent
Period	Loss	Score
0	0.29977952634998717	22.313
1	0.8166530449391811	28.43
2	0.7154932919264785	28.478
3	0.6946988019183323	27.821
4	0.6884950040855307	26.992
5	0.6764126451699408	26.079
6	0.7097507470724772	24.832
7	0.7237022335536706	23.948
8	0.74183015850994	22.627
9	0.7434449944437886	20.978
10	0.7613482068522316	20.401
11	0.7791842716437049	20.105
12	0.7802004771794319	19.796
13	0.7627845344665444	19.816
14	0.7498415784270624	19.654
