Average npc score: 30.69927406311035
Agent
Period	Loss	Score
0	0.3197199098045317	29.873
1	0.881522292521184	32.218
2	0.8218596765412212	33.417
3	0.8102469059862014	34.757
4	0.7994480496653381	36.501
5	0.8023584473087456	37.784
6	0.7507763778248736	39.151
7	0.7147259323624794	40.627
8	0.6739290973383901	41.376
9	0.6569013742514476	41.968
10	0.6515947721554146	43.381
11	0.6400017249463996	44.623
12	0.6308396286404857	44.918
13	0.6310524168761301	45.64
14	0.6333230372685631	45.216
