Average npc score: 30.65995216369629
Agent
Period	Loss	Score
0	0.32040028229170286	34.505
1	1.1189640879719844	43.894
2	1.0245284878947523	44.366
3	0.9744005636391987	45.262
4	0.9774348432392967	45.291
5	1.0262354390658355	46.488
6	1.0000734897870476	46.71
7	1.0262739451914185	46.275
8	1.0100131765831637	46.251
9	0.952608115708688	45.809
