Average npc score: 17.00045394897461
Agent
Period	Score	Loss
0	0.3275694558174981	24.733
1	0.8495871213664058	29.266
2	0.7884070809523451	30.212
3	0.7638610855305906	30.498
4	0.724056247769142	30.297
5	0.7085487259863132	29.852
6	0.6918490446373597	30.264
7	0.6812535370072824	30.672
8	0.672966395484617	30.873
9	0.6458662789244686	31.069
10	0.6474848754117748	30.723
11	0.6557388811495103	30.983
12	0.6718282427734601	31.364
13	0.6592880887287221	31.019
14	0.6399495038557541	30.722
