Average npc score: 30.083206176757812
Agent
Period	Loss	Score
0	0.313946645480464	32.958
1	0.9245809433305575	44.739
2	0.9178192314734754	45.407
3	0.9287262716307215	46.472
4	0.9186413941336278	46.375
5	0.9084829260084053	46.304
6	0.8926417917846261	46.659
7	0.916788484319597	46.763
8	0.9160234777651741	47.21
9	0.9270093131115351	46.07
