Average npc score: 15.559202194213867
Agent
Period	Score	Loss
0	0.3264380688114246	25.276
1	0.8565813429567884	30.141
2	0.7774539717083235	30.977
3	0.7787747838065252	31.141
4	0.733542664788047	31.655
5	0.7062309763590533	31.238
6	0.681003511924484	31.55
7	0.6540655105413664	31.008
8	0.668138797754212	31.988
9	0.6738344900849936	31.46
10	0.6828516650524021	31.562
11	0.672281883654343	31.539
12	0.6727571586188786	31.715
13	0.6564963359148093	31.638
14	0.659598040569996	31.47
15	0.6601436177802673	31.278
16	0.6564023202172635	31.525
17	0.660051122495125	31.306
18	0.651998807976044	31.568
19	0.6453270905723016	31.453
