Average npc score: 29.993865966796875
Agent
Period	Loss	Score
0	0.27800417868997535	29.21
1	0.8137414926224931	29.901
2	0.704639035809692	34.708
3	0.6215464798025595	42.201
4	0.5760911695858824	44.496
5	0.5781518685959718	44.793
6	0.5745536967176001	45.216
7	0.5562748515755435	44.994
8	0.5513031795491404	45.059
9	0.5606451744363771	44.445
10	0.5704282595346986	45.409
11	0.5809609692898056	45.371
12	0.5637368100337924	45.251
13	0.5491686607738855	46.007
14	0.5258554834512957	44.984
